premise,hypothesis,label
"One example of this 
is ‘policy nudges’ (Thaler and Sunstein 2008) which can ‘shift choices 
in socially desirable directions’ (Valatin et al.",Policy nudging can shift choices in socially desirable directions.,entailment
"One example of this 
is ‘policy nudges’ (Thaler and Sunstein 2008) which can ‘shift choices 
in socially desirable directions’ (Valatin et al.",It is false that Policy nudging can shift choices in socially desirable directions.,contradiction
"One example of this 
is ‘policy nudges’ (Thaler and Sunstein 2008) which can ‘shift choices 
in socially desirable directions’ (Valatin et al.","Emory Law J., 59, 1–77, 
doi:10.2139/ssrn.1352693.
Camacho, L.D., D.T.",neutral
"In: Managing the Risks of Extreme 
Events and Disasters to Advance Climate Change Adaptation: Special 
Report of the Intergovernmental Panel on Climate Change [Field, C.B., 
V.",Managing the Risks of Extreme Events and Disasters to Advance Climate Change Adaptation is a special report of the Intergovernmental Panel on Climate Change.,entailment
"In: Managing the Risks of Extreme 
Events and Disasters to Advance Climate Change Adaptation: Special 
Report of the Intergovernmental Panel on Climate Change [Field, C.B., 
V.",Managing the Risks of Extreme Events and Disasters to Advance Climate Change Adaptation is not a special report of the Intergovernmental Panel on Climate Change.,contradiction
"In: Managing the Risks of Extreme 
Events and Disasters to Advance Climate Change Adaptation: Special 
Report of the Intergovernmental Panel on Climate Change [Field, C.B., 
V.","Contribution of 
Working Group III to the Fifth Assessment Report of the Intergovernmental 
Panel on Climate Change [Edenhofer, O., R.",neutral
"To overcome these barriers, climate governance has evolved 
significantly beyond the national and multilateral domains that 
tended to dominate climate efforts and initiatives during the early 
years of the UNFCCC.","During the early years of the UNFCCC, climate efforts and initiatives were dominated by the national and multilateral sectors.",entailment
"To overcome these barriers, climate governance has evolved 
significantly beyond the national and multilateral domains that 
tended to dominate climate efforts and initiatives during the early 
years of the UNFCCC.","It is false that During the early years of the UNFCCC, climate efforts and initiatives were dominated by the national and multilateral sectors.",contradiction
"To overcome these barriers, climate governance has evolved 
significantly beyond the national and multilateral domains that 
tended to dominate climate efforts and initiatives during the early 
years of the UNFCCC.","et al., 2007: Managing change toward adaptive water 
management through social learning.",neutral
"Vanclay, 2011: Social learning: A knowledge and capacity 
building approach for adaptive co-management of contested landscapes.",Social learning is a knowledge and capacity building approach for adaptive co-management.,entailment
"Vanclay, 2011: Social learning: A knowledge and capacity 
building approach for adaptive co-management of contested landscapes.",Social learning is not a knowledge and capacity building approach for adaptive co-management.,contradiction
"Vanclay, 2011: Social learning: A knowledge and capacity 
building approach for adaptive co-management of contested landscapes.","et al., 2017: Pathways to transformational change in the face of 
climate impacts: An analytical framework.",neutral
"Resour., 7, 1–10, doi:10.1079/PAVSNNR20127040.
Wreford, A., A.","The Resour., 7, 1–10, is titled ""Wreford, A..""",entailment
"Resour., 7, 1–10, doi:10.1079/PAVSNNR20127040.
Wreford, A., A.","The Resour., 7, 1–10, is not titled ""Wreford, A..""",contradiction
"Resour., 7, 1–10, doi:10.1079/PAVSNNR20127040.
Wreford, A., A.","India’s forest 
and forest restoration can potentially move away from a top-down carbon centric model with the effective participation of local 
communities (Vijge and Gupta 2014; Murthy et al.",neutral
"Existing regimes focus on subsidies, grants and 
incentives, and voluntary offset programmes.","There are existing regimes that focus on subsidies, grants and incentives.",entailment
"Existing regimes focus on subsidies, grants and 
incentives, and voluntary offset programmes.","There are not existing regimes that focus on subsidies, grants and incentives.",contradiction
"Existing regimes focus on subsidies, grants and 
incentives, and voluntary offset programmes.","Cambridge University Press, 
Cambridge, UK, and New York, NY , USA, 472 pp.",neutral
"Investigating interests and requirements 
among landscape and regional planners in Germany.",Landscape and regional planners in Germany are investigating interests and requirements.,entailment
"Investigating interests and requirements 
among landscape and regional planners in Germany.",Landscape and regional planners in Germany are not investigating interests and requirements.,contradiction
"Investigating interests and requirements 
among landscape and regional planners in Germany.","686
Chapter 7 Risk management and decision-making in relation to sustainable development7from high to very high risk is in the range 2°C to  2.7°C (medium 
confidence) while this transition is never reached in SSP1.",neutral
"Sumner, 2012: Agricultural technologies for 
climate change in developing countries: Policy options for innovation 
and technology diffusion.",Policy options for innovation and technology diffusion were discussed in Sumner's 2012 article.,entailment
"Sumner, 2012: Agricultural technologies for 
climate change in developing countries: Policy options for innovation 
and technology diffusion.",Policy options for innovation and technology diffusion were discussed in Sumner's 2017 article.,contradiction
"Sumner, 2012: Agricultural technologies for 
climate change in developing countries: Policy options for innovation 
and technology diffusion.","Food Sec., 10, 21–28, doi:10.1016/j.gfs.2016.07.002.
Holland, M.B., K.W.",neutral
"766
Chapter 7 Risk management and decision-making in relation to sustainable development7Das, S., and J.R.",Risk management and decision-making in relation to sustainable development,entailment
"766
Chapter 7 Risk management and decision-making in relation to sustainable development7Das, S., and J.R.",It is false that Risk management and decision-making in relation to sustainable development,contradiction
"766
Chapter 7 Risk management and decision-making in relation to sustainable development7Das, S., and J.R.","Policy, 58, 117–122, doi:10.1016/J.
ENVSCI.2016.01.006.",neutral
"Public spending on agriculture 
research and development (R&D) has been more effective at raising 
sustainable agriculture productivity than irrigation or fertiliser 
subsidies (OECD 2018).",Public spending on agriculture research and development has been more effective at raising sustainable agriculture productivity.,entailment
"Public spending on agriculture 
research and development (R&D) has been more effective at raising 
sustainable agriculture productivity than irrigation or fertiliser 
subsidies (OECD 2018).",It is false that Public spending on agriculture research and development has been more effective at raising sustainable agriculture productivity.,contradiction
"Public spending on agriculture 
research and development (R&D) has been more effective at raising 
sustainable agriculture productivity than irrigation or fertiliser 
subsidies (OECD 2018).","Midgley (eds.)], Cambridge University Press, 
Cambridge, UK, and New York, NY , USA, 582 pp.
Carleton, T.A., and S.M.",neutral
"Some trade-offs and synergies related to SDG7 impact 
on aspirations of greater welfare and well-being, as well as physical 
and social infrastructure for sustainable development (Fuso Nerini 
et al.","There are some trade-offs and synergies related toSDG7 impact on welfare and well-being, as well as physical and social infrastructure for sustainable development.",entailment
"Some trade-offs and synergies related to SDG7 impact 
on aspirations of greater welfare and well-being, as well as physical 
and social infrastructure for sustainable development (Fuso Nerini 
et al.","There are not some trade-offs and synergies related toSDG7 impact on welfare and well-being, as well as physical and social infrastructure for sustainable development.",contradiction
"Some trade-offs and synergies related to SDG7 impact 
on aspirations of greater welfare and well-being, as well as physical 
and social infrastructure for sustainable development (Fuso Nerini 
et al.","ILK can be used in decision-making on climate change 
adaptation, SLM and food security at various scales and levels, and 
is important for long-term sustainability (high confidence) .",neutral
"Baumgart-Getz, 2008: 
Determinants of agricultural best management practice adoption: Evidence 
from the literature.","Baumgart-Getz, 2008: Determinants of agricultural best management practice adoption.",entailment
"Baumgart-Getz, 2008: 
Determinants of agricultural best management practice adoption: Evidence 
from the literature.","Baumgart-Getz, 2010: Determinants of agricultural best management practice adoption.",contradiction
"Baumgart-Getz, 2008: 
Determinants of agricultural best management practice adoption: Evidence 
from the literature.","Policy Sci., 42, 
391–408, doi:10.1007/s11077-009-9099-x.
Kerr, S., and A.",neutral
"Merry, 2008: Interactions 
among Amazon land use, forests and climate: Prospects for a near-
term forest tipping point.",There are possibilities for a near- term forest tipping point.,entailment
"Merry, 2008: Interactions 
among Amazon land use, forests and climate: Prospects for a near-
term forest tipping point.",There are not possibilities for a near- term forest tipping point.,contradiction
"Merry, 2008: Interactions 
among Amazon land use, forests and climate: Prospects for a near-
term forest tipping point.","Reichardt, 2016: Policy mixes for sustainability transitions: 
An extended concept and framework for analysis.",neutral
"Organ., 72, 
154–163, doi:10.17730/humo.72.2.e1x3101741127x35.
Mozumder, P ., R.","Organ., 72, 154–163 was published in 2010.",entailment
"Organ., 72, 
154–163, doi:10.17730/humo.72.2.e1x3101741127x35.
Mozumder, P ., R.","Organ., 73, 154–163 was published in 2010.",contradiction
"Organ., 72, 
154–163, doi:10.17730/humo.72.2.e1x3101741127x35.
Mozumder, P ., R.","EMBO Rep., 2, 958–963, doi:10.1093/embo-reports/
kve236.
Tierney, J.E., C.C.",neutral
"Cross-sectoral integration: rather than approach each 
application or sector (e.g., energy, agriculture, forestry) separately, 
there is a conscious effort at co-management and coordination 
in policies and institutions, such as with the energy–water–food 
nexus (Biggs et al. 2015).
3.","Rather than approach each application or sector separately, there is a conscious effort at co-management and coordination in policies and institutions.",entailment
"Cross-sectoral integration: rather than approach each 
application or sector (e.g., energy, agriculture, forestry) separately, 
there is a conscious effort at co-management and coordination 
in policies and institutions, such as with the energy–water–food 
nexus (Biggs et al. 2015).
3.","Rather than approach each application or sector separately, there is not a conscious effort at co-management and coordination in policies and institutions.",contradiction
"Cross-sectoral integration: rather than approach each 
application or sector (e.g., energy, agriculture, forestry) separately, 
there is a conscious effort at co-management and coordination 
in policies and institutions, such as with the energy–water–food 
nexus (Biggs et al. 2015).
3.","Barrett, C.B., 2005: Rural poverty dynamics: Development policy implications.",neutral
"et al., 2018: Characteristics of transformational adaptation in 
land-society-climate interactions.",Characteristics of transformational adaptation in land-society-climate interactions.,entailment
"et al., 2018: Characteristics of transformational adaptation in 
land-society-climate interactions.",It is false that Characteristics of transformational adaptation in land-society-climate interactions.,contradiction
"et al., 2018: Characteristics of transformational adaptation in 
land-society-climate interactions.","Manage., 54, 768–781, doi:10.1007/s00267-014-0334-7.
Endres, J.",neutral
"Fostering stakeholder involvement in designing models by using executable 
UML.",Fostering stakeholder involvement in designing models.,entailment
"Fostering stakeholder involvement in designing models by using executable 
UML.",It is false that Fostering stakeholder involvement in designing models.,contradiction
"Fostering stakeholder involvement in designing models by using executable 
UML.","Pincetl, 2015: The effectiveness of water 
conservation measures on summer residential water use in Los Angeles, 
California.",neutral
"Figure 7.5 displays the structured problem 
area in the bottom left-hand corner corresponding with the ‘known’ 
decision-making space.",There is a structured problem area in the bottom left-hand corner.,entailment
"Figure 7.5 displays the structured problem 
area in the bottom left-hand corner corresponding with the ‘known’ 
decision-making space.",There is not a structured problem area in the bottom left-hand corner.,contradiction
"Figure 7.5 displays the structured problem 
area in the bottom left-hand corner corresponding with the ‘known’ 
decision-making space.","In Ethiopia, Kenya and Somalia, every 1 USD spent on 
safety-net/resilience programming results in net benefits of between 
2.3 and 3.3  USD (Venton 2018).",neutral
"2016; Dwyer and 
Hodge 2016) in relation to adaptive governance (Koontz et al.",In relation to adaptive governance.,entailment
"2016; Dwyer and 
Hodge 2016) in relation to adaptive governance (Koontz et al.",It is false that In relation to adaptive governance.,contradiction
"2016; Dwyer and 
Hodge 2016) in relation to adaptive governance (Koontz et al.","Contribution of Working Group II to 
the Fifth Assessment Report of the Intergovernmental Panel on Climate 
Change [Field, C.B., V.R.",neutral
"Extrem., 15, 24–33, 
https://doi.org/10.1016/j.wace.2016.12.001.
Ayeb-Karlsson, S., K.","The journal Extrem., 15, 24–33, was published in 2016",entailment
"Extrem., 15, 24–33, 
https://doi.org/10.1016/j.wace.2016.12.001.
Ayeb-Karlsson, S., K.","The journal Extrem., 17, 24–33, was published in 2016",contradiction
"Extrem., 15, 24–33, 
https://doi.org/10.1016/j.wace.2016.12.001.
Ayeb-Karlsson, S., K.","Focusing 
on synergies, between mitigation, adaptation, and increased 
productivity, such as through climate-smart agriculture (CSA) (Lipper 
et al.",neutral
